Key	Value
[SEKOLAH]的长老猝不及防，慌忙刚准备逃生，就被[NAMA]接二连三的狠招夺去了性命。	Yang lebih tua dari[SEKOLAH] tertangkap basah,[DIA] sedang buru-buru membuat persiapan untuk melarikan diri ketika[NAMA] telah mengambil[DIA] hidup dalam kesibukan pukulan.
[NAMA]见面不多说，先下手为强，一记狠手向[SEKOLAH]的长老身上招呼，[SEKOLAH]的长老临危不乱，险之又险的躲过了这招并发起凌厉的反击。	[NAMA] Aku kekurangan kata-kata, tapi keuntungannya ada pada orang yang menyerang lebih dulu, jadi[DIA] sapa yang lebih tua[SEKOLAH] dengan tangan terangkat, tapi si tetua tetap tenang dan tenang dalam menghadapi bahaya, jadi[DIA] mampu melarikan diri dan kemudian menyerang balik dengan pukulan[DIA] memiliki.
我方在{0}吸引力降低了。	Banding sekte kami menurun pada{0}.
我方在{0}吸引力稍微降低了。	Daya Tarik sekte kami sedikit menurun{0}.
{0}在{1}的吸引力提高了。	{0}'s Banding meningkat pada{1}.
[NAMA]进入洞府中寻找仙缘，最终在一个不起眼的房间发现了一方玉匣。	[NAMA] memasuki Rumah Gua untuk mencari Takdir Abadi dan akhirnya menemukan peti batu giok di ruangan sederhana.
[SEKOLAH]的长老看[NAMA]装作没看到自己，对你的无礼略感不满。	Yang lebih tua dari[SEKOLAH] gergaji[NAMA] berpura-pura tidak memerhatikannya, merasa tidak sopan, dan akibatnya merasa tidak puas.
{0}在{1}的吸引力稍微提高了。	{0}'s Daya tarik meningkat sedikit pada{1}.
[NAMA]进入洞府中寻找仙缘，但是最后还是一无所获，反而不慎触发了禁法而负伤，只能暗叹与仙府无缘。	[NAMA] memasuki Rumah Gua untuk mencari Takdir Abadi, namun tidak menunjukkan apa pun dan akhirnya secara tidak sengaja menyentuh sesuatu yang seharusnya tidak mereka miliki sehingga yang perlu dilakukan hanyalah menghela nafas karena kurangnya keberuntungan.
[NAMA]一番参悟下，从阵图中悟出了什么！	[NAMA] bermeditasi dan menyadari sesuatu dari diagram formasi!
以[NAMA]的阵法造诣，完全不能解读这张阵图。	[NAMA] tidak dapat menguraikan diagram karena kurangnya pengetahuan mereka tentang formasi.
{0}在{1}的吸引力降低了。	{0}'s Banding menurun pada{1}.
{0}在{1}的吸引力稍微降低了。	{0}'s Daya tariknya sedikit menurun pada{1}.
在{1}，有不少群众选择信奉{0}。	Lebih dari beberapa anggota kerumunan di{1} memilih untuk menjadi{0}'s Pengikut.
[SEKOLAH]的长老怒极反笑，他出手就是[SEKOLAH]的镇派绝招，狠狠攻向[NAMA]。[NAMA]狞笑一声，祭出自己的法宝迎敌。一时间空中两道流光如惊龙横空斗作一团。	Yang lebih tua dari[SEKOLAH] mendidih karena marah, dan melancarkan serangan ganas ke arah itu[SEKOLAH] pada[NAMA]. [NAMA] meringis dan membawa[DIA] artefak untuk ditanggung melawan musuh. Untuk sementara waktu, pertempuran itu bagaikan badai pedang.
两人瞬息间已过手数十招，[NAMA]看重一个破绽，拼着自己受伤一招打碎了[SEKOLAH]的长老的天灵盖，[SEKOLAH]的长老死状惨烈，神形俱灭。	Dalam sekejap mata, senjata mereka telah bentrok puluhan kali.[NAMA] mencari celah dan menganggapnya sebagai[DIA] terluka, menangkap yang lebih tua[SEKOLAH] dengan sapuan di kepala. Itu adalah akhir yang tragis.
[SEKOLAH]的长老怒极反笑，他出手就是[SEKOLAH]的镇派绝招，狠狠攻向[NAMA]。[NAMA]狞笑一声，祭出自己的法宝迎敌。但却错估了对方杀招的威力，竟然被瞬间破去了法宝。	Yang lebih tua dari[SEKOLAH] mendidih karena marah, dan melancarkan serangan ganas ke arah itu[SEKOLAH] pada[NAMA]. [NAMA] meringis dan membawa[DIA] artefak untuk ditanggung melawan musuh.[DIA] meremehkan kekuatan musuh dan[DIA] senjatanya patah dalam sekejap.
[NAMA]大惊失色，已经失了先机，虽然拼命逃走，但却被[SEKOLAH]的长老打中致命的一击。	[NAMA] menjadi pucat karena ketakutan karena keuntungannya hilang. Meskipun[DIA] melarikan diri dengan putus asa, yang lebih tua dari[SEKOLAH] memberikan pukulan yang mematikan.
法术轰击	Pengeboman Ajaib
{0}无动于衷，几乎没人通过这次活动认识我们。群众受到了装神弄鬼的影响。	{0} kami acuh tak acuh, jadi tidak ada yang benar-benar mengenal kami sebagai hasil dari kegiatan tersebut. Massa terkena dampak penipuan tersebut.
{0}尝试安抚他：“何故在此谈论是非？时候不早了，回去休息吧。”那人理都不理{0}。群众受到了装神弄鬼的影响。	{0} Mencoba menenangkannya: “Mengapa kamu di sini membicarakan benar dan salah? Sudah larut, istirahatlah.” Orang itu membayar{0} tidak keberatan. Massa terkena dampak penipuan tersebut.
{0}向其怒吼：“一派胡言！”他居然被吓跑了。群众觉得更加安全。	{0} meraung: "Omong kosong sekali!" Dia ketakutan. Masyarakat merasa lebih aman tinggal di sini.
{0}向其怒吼：“你再不停下，小心我打你！”“就是他！他就是万恶之源！”看来{0}还不够有威慑力，群众用怀疑的眼神看着{0}。群众受到了装神弄鬼的影响。	{0} raung: ""Jika kamu tidak berhenti, sebaiknya kamu berhati-hati!"", ""Dialah orangnya! Dia adalah akar segala kejahatan!"" Sepertinya{0} tidak memiliki kekuatan yang diperlukan. Kerumunan itu melihat{0} dengan curiga. Massa terkena dampak penipuan tersebut.
{0}对众人说：“你这么能干，不如加入我们吧。”但他并不愿意。群众受到了装神弄鬼的影响。	{0} berkata kepada orang banyak: "Bukankah lebih baik bergabung dengan kami daripada terus seperti ini?" Namun dia tidak bersedia. Massa terkena dampak penipuan tersebut.
{0}说走上前去，与他辩论。他与{0}说了半天，驴头不对马嘴，装神弄鬼结束了。	{0} pergi dan berdebat dengannya. Dia berbicara omong kosong dengan{0} cukup lama, barulah penipuan itu berakhir.
{0}带了些食物。但他并不需要吃东西。群众受到了装神弄鬼的影响。	{0} membawa beberapa Makanan. Tapi dia tidak membutuhkan apa pun untuk dimakan. Massa terkena dampak penipuan tersebut.
{0}带了些灵石，但他不认识灵石。群众受到了装神弄鬼的影响。	{0} membawa beberapa Batu Roh, tapi dia tidak tahu apa itu. Massa terkena dampak penipuan tersebut.
{0}拿了根木棍，想要将其打晕。“就是他！他就是万恶之源！”群众用怀疑的眼神看着{0}，没想到他恶人先告状。群众受到了装神弄鬼的影响。	{0} meraih tongkat kayu untuk menjatuhkan pihak lain dengan: “” Dialah orangnya! Dia adalah akar segala kejahatan!”” Mendengar tuduhannya yang tiba-tiba, orang banyak memandang{0} dengan curiga. Massa terkena dampak penipuan tersebut.
{0}拿了块石头，向他砸了过去。他被打晕了，群众也被吓到了。	{0} mengambil batu dan melemparkannya ke arahnya. Dia tersingkir, orang banyak ketakutan karenanya.
信奉{0}的人数增加了{1}人。	Pengikut dari{0} meningkat sebesar{1}.
[NAMA]仔细的研究了这个奇怪的物件，只觉得构成封印的能量似乎与这个世界格格不入，竟然无比排斥灵气的渗透。如果用强，甚至会导致此物彻底湮灭。正当[NAMA]束手无策之际，竟然从封印的手法上发现了一丝熟悉的味道。	Setelah mempelajari benda aneh ini dengan cermat,[NAMA] merasa bahwa energinya tidak sesuai dengan dunia ini dan bahkan menolak Qi seseorang. Jika seseorang mencoba membuka segelnya dengan paksa, hal itu bahkan dapat mengakibatkan hancurnya benda tersebut. Sama seperti[NAMA] bingung, sesuatu yang familier menjadi jelas tentang teknik penyegelan.
受到其他代理势力影响，信奉{0}的人数只增加了{1}人。	Dipengaruhi oleh kekuatan agen lain, Pengikut{0} hanya meningkat sebesar{1}.
在{1}，有少量群众选择信奉{0}。	Orang di{1} memilih untuk percaya{0}.
[SEKOLAH]的长老皱了皱眉，一副不想惹事的样子转身离去。暗中却向[NAMA]使出[SEKOLAH]的绝杀秘术，想不费吹灰之力夺取[NAMA]性命。	Yang lebih tua dari[SEKOLAH] mengerutkan kening, berbalik, dan pergi dengan tatapan seperti itu[DIA] tidak ingin menimbulkan masalah. Namun,[DIA] diam-diam menggunakan teknik kejam[SEKOLAH] dalam upaya untuk mengambil[NAMA]'hidup tanpa masalah apa pun.
[NAMA]早已察觉，也故作中招，趁敌人大喜回身之际发出运起全身功力的一击。只一道惊龙般的神光如神矢贯月，瞬间将毫无防备的[SEKOLAH]的长老打成飞灰。	[NAMA] sudah merasakannya, berpura-pura terluka dan menyerang dengan sekuat tenaga[DIA] kekuatan sementara musuh berbalik untuk merayakannya. Dalam sekejap, seperti kilatan cahaya,[DIA] menyerang sesepuh yang tidak dijaga[SEKOLAH].
据说信奉{0}的人数增加了{1}人。	Dikatakan bahwa Pengikut{0} meningkat sebesar{1}.
[NAMA]大惊失色，已经失了先机，虽然拼命逃走，但却被[SEKOLAH]的长老的致命的一击打中了心脏。	[NAMA] menjadi pucat karena ketakutan karena keuntungannya hilang. Meskipun[DIA] melarikan diri dengan putus asa, yang lebih tua dari[SEKOLAH] memberikan pukulan mematikan pada[DIA] jantung.
在{1}，有不少信徒背离了{0}。	Lebih dari beberapa Pengikut di{1} kiri{0}.
[NAMA]施展神通，隔绝严寒，进入洞府中寻找仙缘，最终在一个不起眼的房间发现了一方玉匣。	[NAMA] merapalkan mantra pelindung terhadap cuaca dingin yang ekstrem dan memasuki Rumah Gua untuk mencari Takdir Abadi dan akhirnya menemukan peti batu giok di ruangan sederhana.
[SEKOLAH]的长老皮笑肉不笑的看了你一样，似乎想动手，但最终掉转方向离去。	Yang lebih tua dari[SEKOLAH] melihat[NAMA] dengan senyuman palsu, seolah ingin bergerak, tapi pada akhirnya,[DIA] berbalik dan pergi.
[NAMA]选择无视对面，可[SEKOLAH]的长老却不准备放过他，他目露凶光，挥手就拦住[NAMA]的去路，并发动了猛烈的攻击。	[NAMA] memilih untuk mengabaikan pihak lawan, tetapi yang lebih tua[SEKOLAH] belum siap untuk membiarkannya[ENHIM] pergi. Dengan keyakinan dalam[DIA] mata,[DIA] dipindahkan untuk memotong[NAMA]'s melarikan diri dan menyerang dengan serangan ganas.
双方斗了几个回合，[NAMA]感觉灵气不继，一时疏忽被对方破了法术。[SEKOLAH]的长老招招夺命，[NAMA]拼尽全力才逃脱了[SEKOLAH]的长老的追杀。	Mereka bertarung berkali-kali.[NAMA] merasakan kehilangan Qi mereka, dan pada saat kecerobohan,[DIA] mantranya rusak. Yang lebih tua dari[SEKOLAH] melakukan segalanya[DIA] bisa mengakhirinya saat itu juga.[NAMA] melakukan semuanya[DIA] bisa menghentikan yang lebih tua[SEKOLAH]'s pengejaran.
信奉{0}的人数减少了约{1}。	Pengikut dari{0} berkurang sekitar{1}.
[NAMA]施展神通，隔绝严寒，进入洞府中寻找仙缘，但是最后还是一无所获，反而不慎触发了禁法而负伤，只能暗叹与仙府无缘。	[NAMA] merapalkan mantra pelindung terhadap cuaca dingin ekstrem dan memasuki Rumah Gua untuk mencari Takdir Abadi, namun tidak menunjukkan apa pun dan secara tidak sengaja berakhir dengan menyentuh sesuatu yang seharusnya tidak mereka miliki sehingga yang perlu dilakukan hanyalah menghela nafas karena kurangnya keberuntungan.
在{1}，有少量信徒背离了{0}。	Beberapa Pengikut tersisa{0} pada{1}.
信奉{0}的人数稍微减少了{1}人。	Pengikut dari{0} berkurang sedikit demi sedikit{1}.
[SEKOLAH]的长老看到[NAMA]神色不忿，但是想了想[NAMA]在修行界的凶威还是啐了一口，扭头离去。	Yang lebih tua dari[SEKOLAH] bisa tahu dari tampilannya[NAMA]'Aku menghadapinya[DIA] tidak akan menyerah.[DIA] memikirkan tentang[NAMA]'Reputasinya memiliki kekuatan yang ganas, meludah, berbalik, dan pergi.
[SEKOLAH]的长老大喝一声歪门邪道，人人得而诛之，挥手祭出随身法宝，对[NAMA]发起凌厉的攻势。	Yang lebih tua dari[SEKOLAH] ditegur[NAMA]'s cara yang bengkok, menggambar[DIA] senjatanya dan melancarkan serangan[ENHIM].
[NAMA]见对方招数精奇，先失了胆气。只得卖了个破绽，付出受了几处伤的代价借遁光逃离。	[NAMA] melihat kesibukan gerakan yang dilakukan pihak lain dan segera hilang[DIA] keberanian.[DIA] harus menerima beberapa pukulan sebagai harga untuk bisa melarikan diri.
[NAMA]根本无法忍受洞府中的严寒，只得无奈离去。	[NAMA] tidak tahan dengan hawa dingin yang parah di Rumah Gua sehingga harus pergi.
在{1}，有少量信徒背离了{0}，并成为了我们的信众。	Beberapa orang di{1} memilih untuk berhenti percaya{0} dan menjadi Pengikut kami.
我方信众稍微增加了{0}人。	Pengikut kami bertambah sebesar{0}.
在{1}，部分信徒背离了{0}，并成为了我们的信众。	Beberapa Pengikut di{1} berpaling dari{0} dan menjadi Pengikut kami.
[SEKOLAH]为迎接[NAMA]来临，派遣诸多弟子相迎。恭敬的无以复加。[NAMA]乐得自在，在[SEKOLAH]逍遥了几天，而后离去。	[SEKOLAH] suruh semua Murid datang dan memberi salam[NAMA]. Mereka sangat terhormat.[NAMA] merasa nyaman, tetap di[SEKOLAH] selama beberapa hari, lalu pergi.
{0}尝试安抚他们，展现了处世之道：“生意讲究公平竞争。你们这样打闹，怕是神仙都不敢再来了。”他们双方觉得有些道理，不再争吵。群众投来赞许的目光。	{0} mencoba menenangkan mereka melalui pertunjukan keterampilan sosial: "Bisnis adalah tentang persaingan yang sehat. Kalian semua membuat keributan seperti ini, bahkan makhluk abadi pun tidak akan berani kembali." Mereka berpikir bahwa sudah ada keputusan yang masuk akal dan tidak akan bertengkar lagi. Semua orang sepertinya menyetujuinya.
{0}向他们吼道：“吵什么吵？再吵生意就别做了！”然而他们人多势众，{0}说的话几乎无人在乎。	{0} berteriak pada mereka: "Ada apa semua ini? Jika kalian ingin terus melakukan hal ini, berhentilah berbisnis!" Jumlah mereka begitu banyak sehingga tak seorang pun benar-benar membayar{0} perhatian apa pun.
{0}对众人说：“你们都来做我们的信徒吧，这样大家都是一家人了。”但他们并不愿意，继续争吵。	{0} berkata kepada orang banyak: "Bergabunglah dengan kami dan kita semua akan menjadi satu keluarga yang bahagia." Namun mereka tidak bersedia dan terus berdebat.
{0}说：“打死他们！今天就要分个胜负！。”没想到他们真的打了起来，一片混乱。群众害怕地逃走了。	{0} berkata: "Hajar mereka! Akan ada pemenang hari ini!" Didorong oleh kata-kata Anda, mereka benar-benar mulai berkelahi, dan situasi menjadi tidak terkendali. Kerumunan itu lari ketakutan.
{0}拿了根木棍，想要攻击他们。然而他们人多势众。	{0} meraih tongkat kayu untuk menyerang mereka. Tapi jumlahnya banyak.
{0}拿了块石头，向其中一位砸了过去。他们其中一位被打晕了，其他人也突然被吓到。	{0} mengambil sebuah batu, dan melemparkannya ke salah satu dari mereka. Salah satu dari mereka tersingkir, yang lain ketakutan.
{0}的收编中断了。	{0}'penggabungannya terputus.
{0}早已被我们收编。	{0} didirikan oleh kami beberapa waktu yang lalu.
{0}已被我们收编！	{0} telah dimasukkan!
{0}收编进度达到{1}。	{0}'meteran penggabungan telah tercapai{1}.
{0}收编中断了。	{0}'penggabungannya terputus.
[NAMA]施展神通，避开真火，进入洞府中寻找仙缘，最终在一个不起眼的房间发现了一方玉匣。	[NAMA] merapal mantra pelindung terhadap panas ekstrem dan memasuki Rumah Gua untuk mencari Takdir Abadi dan akhirnya menemukan peti batu giok di ruangan sederhana.
[NAMA]施展神通，避开真火，进入洞府中寻找仙缘，但是最后还是一无所获，反而不慎触发了禁法而负伤，只能暗叹与仙府无缘。	[NAMA] merapalkan mantra pelindung terhadap panas yang ekstrem dan memasuki Rumah Gua untuk mencari Takdir Abadi, namun tidak menunjukkan apa-apa dan secara tidak sengaja berakhir dengan menyentuh sesuatu yang seharusnya tidak mereka miliki sehingga yang perlu dilakukan hanyalah menghela nafas karena kurangnya keberuntungan.
[NAMA]拜访了[SEKOLAH]的掌门，掌门十分感谢[NAMA]的门派这些年对[SEKOLAH]的弟子的关照。他代表[SEKOLAH]将镇派法宝赠与[NAMA]。希望两派可以在将来继续守望相助，友谊长存。	[NAMA] mengunjungi kepala[SEKOLAH], siapa yang berterima kasih[ENHIM] sebesar-besarnya untuk[DIA] kepedulian sekolah terhadap murid-muridnya[NAMA] selama bertahun-tahun.[DIA] menyajikan Artefak kepada[NAMA] pada[SEKOLAH]'atas nama. Dia[DIA] berharap kedua sekolah dapat terus menjaga semangat kerjasama dan persahabatan hingga tahun-tahun mendatang.
[ukuran=12][color=#000000]口…口口口…口……此物名为“沙发”，凡人以此为休憩之所，其柔软舒适，可坐可卧，确有妙用……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Barang ini disebut "Sofa". Masyarakat awam menggunakannya untuk bersantai, atau bahkan untuk tidur.[/color][/ukuran]
红云神砂	Cinnabar Awan Merah
丹霞宗镇派法宝，以万年朱砂炼制，破一切邪秽。	Artefak Sunshade Abode terbaik, yang dimurnikan dari cinnabar selama sepuluh ribu tahun, dapat menghilangkan segala kejahatan.
[ukuran=12][color=#000000]口…口口口…口……此界有些凡人颇有闲趣，竟会为宠物打造床铺，吾寻思若能送二师兄养的那只火灵猫一个猫床，想必有趣……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Di dunia ini terdapat beberapa orang yang senang membuat tempat tidur untuk hewan peliharaan di waktu luangnya. Mungkin tuan menginginkannya… [/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……此物叫做“电灯”，以“雷霆之力”灌注可以发光照明，比烛火之流明亮不知多少，有趣有趣………口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Benda ini disebut bola lampu. Ia menggunakan "kekuatan guntur" untuk menerangi ruang. Ini cukup menarik.[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……这里的凡人似乎特别喜欢猫这种动物，就连地毯都画有猫爪印记，在我们世界，只有神力超群的凶兽神兽才会得人喜爱，真的不能理解……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Rakyat jelata di sini sepertinya menyukai kucing. Di dunia kita hanya makhluk ilahi atau binatang buas yang luar biasa yang disukai oleh masyarakat. Saya tidak menerima banding tersebut…[/color][/ukuran]
天莲剑	Teratai Putih
昆仑宫镇派法宝，以五色金莲为胎铸成剑形，深具灵性。	Artefak terbaik Istana Kunlun, terbentuk dari Prisma Lotus dan dipenuhi dengan esensi spiritual.
[ukuran=12][color=#000000]口…口口口…口……此物名为“电风扇”，注入“雷霆之力”便会飞速旋转，产生凉风，虽不如灵符有效，但也让人聊以自慰……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Benda ini disebut "Kipas Listrik". Ia menggunakan kekuatan petir untuk berputar dengan kecepatan tinggi, menghasilkan angin sejuk. Ini cukup menenangkan.[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……此界凡人颇爱许愿祈祷之行为，此物名唤“祈愿灯”，便是祈祷的器具之一…有点像我们的孔明灯不是嘛？……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Rakyat jelata di sini suka berdoa. Benda ini disebut "lampu doa". Itu terlihat mirip dengan sesuatu yang kita miliki.[/color][/ukuran]
天极神针	Jarum Ilahi
极天宫镇派法宝，以天地灵药琅琊果为材料制成针体，又用天雷淬炼百年而成。	Persenjataan ilahi yang jarumnya dimurnikan dari Buah Sage selama seratus tahun.
[ukuran=12][color=#000000]口…口口口…口……此界凡人使用“汽车”来长途奔波，此物就是所谓的“车站”，好似我们世界的驿站一般，吾见之有趣，便使了个法术偷偷摄走一座车站，给你们见识见识……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Rakyat jelata di sini menggunakan "mobil" untuk melakukan perjalanan jarak jauh. Benda ini disebut “stasiun”, mirip dengan stasiun pos di dunia kita. Saya menggunakan sihir untuk mengambil satu untuk ditunjukkan kepada Anda semua…[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……此物名为“保险箱”，凡人用来保管私密之物。说实话，真觉得没什么用……随随便便就能被打开……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Item ini disebut "Aman". Ini digunakan untuk melindungi barang-barang berharga. Sejujurnya, ini sepertinya tidak ada gunanya…itu bisa dibuka kapan saja…[/color][/ukuran]
紫霞锁云镯	Gelang Senja
紫霄宗镇派法宝，以天地灵药木枯藤打造而成，威力不凡。	Gelang ini adalah Artefak terbaik yang dibuat oleh Kuil Awan Ungu dari Pohon Anggur Berkerut dari pohon obat di desa setempat yang terpencil.
[ukuran=12][color=#000000]口…口口口…口……自从修行有成，便再也没有尝试过堆雪人这种凡人的游戏了，反而被困在此界动了尘思，罢了，便将此物封印，也算留个念想……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Sejak mencapai prestasi dalam Latihan, saya belum pernah mencoba membuat manusia salju lagi. Namun, saat terjebak di alam ini, tiba-tiba saya ingin membangun salah satunya… Saya kira saya akan menyegelnya di sini sebagai pengingat.[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……这个铁镐倒是让我想起外门弟子的那些日子，姑且留个纪念吧……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Beliung ini mengingatkanku pada saat aku masih menjadi murid luar, jadi aku meninggalkan sedikit pengingat…[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……这里的凡人确实有趣，总是能在各种地方找到乐趣，比如这把叫“自宫匕首”玩具剑，哈哈……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Rakyat jelata di sini menarik, mereka selalu menemukan cara untuk menghibur diri. Mereka bahkan punya pisau mainan yang diberi nama "Belati Pengebirian Sendiri". Ha ha ha![/color][/ukuran]
五雷镇狱神符	Jimat Guntur
玄一道镇派之宝，以太古陨星为原料制成的法宝，上面刻五雷天心正法，威力惊人。	Pusaka paling berharga dari Sekte Persatuan Mistik. Artefak yang terbuat dari meteorit logam kuno dengan Jalan Hati Surgawi yang tertanam di dalamnya, kekuatannya sungguh menakjubkan.
[ukuran=12][color=#000000]口…口口口…口……木头做的剑啊，倒是让我回忆起刚学剑术时候的日子……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Pedang kayu? Ini mengingatkanku pada saat aku baru mulai belajar ilmu pedang.[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……此界的兵器冶炼之术倒是也别出机杼，至少我们世界若不用法力淬炼，很难将青铜剑打造到这个地步……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Seni peleburan senjata di sini cukup unik. Jika kita tidak menggunakan sihir, kita mungkin tidak bisa membuat pedang perunggu seperti ini.[/color][/ukuran]
青索剑	Pedang Azure
青莲剑宗镇派之宝，以陨星之铁锻造，锋利无匹。	Bilah biru itu adalah harta karun yang ditempa dari meteorit yang jatuh yang ketajamannya tak tertandingi.
[ukuran=12][color=#000000]口…口口口…口……此物倒是让我想起外门弟子的那些日子，姑且留个纪念吧……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Barang ini mengingatkanku pada saat aku masih menjadi murid luar, jadi aku meninggalkan sedikit pengingat…[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……这是我在这个世界上第一个朋友阿迪特送的礼物，和凡人交朋友，真的是很久之前的记忆了……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Ini adalah hadiah dari teman pertama yang saya buat di sini. Sudah lama sekali aku tidak berteman dengan rakyat jelata…[/color][/ukuran]
寒织五云帕	Syal Frostcloud
栖霞宗镇派之宝，以冰蚕丝织成，神妙非常。	Harta Karun Evenfall Abode, syal ini dijahit dari sutra beku. Tenunannya sangat indah.
[ukuran=12][color=#000000]口…口口口…口……此物名为“光盘”，据说在此界也算是上古遗物，这东西小小一片就能记录无穷的消息，比元神高人的神念留影都不遑多让，而且代价极其低廉，不需要任何法力就能批量生产，真的是神妙无比，没想到凡人居然能做到仙人都做不到的事，有趣有趣…口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Barang ini disebut "DVD", sudah tua sekarang, tetapi dapat menyimpan barang tanpa batas, namun harganya sangat murah. Sungguh luar biasa. Rakyat jelata tampaknya mampu mencapai apa yang tidak pernah bisa diimpikan oleh para Dewa…[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……此界凡人多以此物长途跋涉，省却了饲养骡马的繁琐，构思确实巧妙……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Rakyat jelata disini menggunakan barang ini untuk melakukan perjalanan jarak jauh tanpa bagal atau kuda, itu cukup cerdik.[/color][/ukuran]
百灵腐仙剑	Pedang Korupsi Roh
百蛮山镇派邪剑，以数百妖兽内丹铸成，一旦祭出，邪气滔天。	Pedang Mt. Seratus Serangga yang rusak, ditempa dari Inti Dalam beberapa ratus setan. Setelah ditarik, pedang ini membuat udara dipenuhi aura jahat.
[ukuran=12][color=#000000]口…口口口…口……此玩偶是名唤“羊驼”的奇特动物，确实闻所未闻的物种……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Makhluk ini disebut “Alpaca”, hewan yang cukup aneh.[/color][/ukuran]
[ukuran=12][color=#000000]口…口口口…口……此物名为“海苔卷饼”，乃是用海洋中一种奇怪的食材制作，颇具风味，不知道我们世界的海洋中有没有此物……口口口……口……[/color][/ukuran]	[ukuran=12][color=#000000]Benda ini disebut "Gulungan Rumput Laut", dan terbuat dari sesuatu yang berasal dari laut. Saya tidak tahu apakah dunia kita mempunyai hal seperti ini…[/warna][/ukuran]
[ukuran=12][warna=#000000]口…口口口…口……此物名为“汽水”，味道倒是一般，不过内中富含的气泡给人会带来一些奇妙的口感，颇为新奇……口口口……口……[/warna][/ukuran]	[ukuran=12][warna=#000000]Barang ini disebut "Soda". Rasanya enak, tapi gas yang dikeluarkannya memberikan rasa yang menarik di mulut.[/warna][/ukuran]
元磁两心环	Gelang Inti Magnetik Ganda
七仟坞镇派之宝，威力惊人且深具灵性，传说法宝有自我意识，只要认主，哪怕是白痴都可以使用。	Harta karun Pit of Doom, kekuatan peninggalan ini mengejutkan orang dan penuh dengan esensi spiritual. Konon peninggalan ini memiliki kesadaran tersendiri.
[ukuran=12][warna=#000000]口…口口口…口……此物名为“奶油鱼汤”，据说奶油是从动物乳汁中提取的精华，我们世界可没有这样的烹饪方法，吃起来有点奇怪……口口口……口……[/warna][/ukuran]	[ukuran=12][warna=#000000]Item ini disebut "Krim Bouillabaisse." Krim yang digunakan konon berasal dari hewan…kita tidak memiliki hal seperti itu di dunia kita…[/warna][/ukuran]
[ukuran=12][warna=#000000]口…口口口…口……此物名为“蔬菜丸子汤”，我们也有这道菜，虽然做法类似，但是口味却很不一样，有点想念家乡的味道了……口口口……口……[/warna][/ukuran]	[ukuran=12][warna=#000000]Makanan ini disebut "Sup Bola Sayur", dan meskipun kami juga memiliki hidangan ini, rasanya berbeda…[/warna][/ukuran]
七杀剑	Bilah Tujuh Kematian
黑山镇派之宝，历经数次正邪大战，无物不斩。	Harta karun Gunung Blackstone, pedang ini telah menyaksikan berbagai perang yang diliputi kejahatan.
[ukuran=12][warna=#000000]口…口口口…口……此物名为“肉酱面”，我们也有这道菜，虽然做法类似，但是口味却很不一样，有点想念家乡的味道了……口口口……口……[/warna][/ukuran]	[ukuran=12][warna=#000000]Hidangan ini disebut "Spaghetti Bolognese". Kami juga punya hidangan ini, tapi rasanya sangat berbeda.[/warna][/ukuran]
[ukuran=12][warna=#000000]口…口口口…口……此物名为“海鲜大杂烩”，其实就是海中食材一锅乱炖，这厨艺简直让我想起太一门的小师弟，哎，不知道他活下来没有……口口口……口……[/warna][/ukuran]	[ukuran=12][warna=#000000]Makanan ini disebut "Seafood Chowder," hidangan ini mengingatkan saya pada seorang saudara di Sekte Taiyi…Aku ingin tahu apakah dia masih hidup…[/warna][/ukuran]
